BEN;CO;MXIL;NO;NO2;O3;PM2.5;SO2;TOL
0.4;0.14;0.25;4.0;13.0;33.0;7.0;13.0;0.4
0.3;0.25;0.25;4.0;17.0;24.0;10.0;13.0;0.76
0.36;0.45;0.29;9.0;31.0;25.0;13.0;18.0;1.35
0.35;0.11;0.28;3.0;19.0;39.0;12.0;8.0;0.79
0.38;0.18;0.35;5.0;23.0;32.0;18.0;16.0;1.13
0.52;0.25;0.33;6.0;25.0;34.0;22.0;14.0;0.9
0.36;0.1;0.25;2.0;12.0;58.0;8.0;4.0;0.31
0.42;0.1;0.25;2.0;14.0;44.0;8.0;4.0;0.45
0.34;0.1;0.25;6.0;14.0;30.0;4.0;4.0;0.42
0.32;0.34;0.25;6.0;22.0;35.0;8.0;13.0;0.57
0.49;0.41;0.34;13.0;22.0;20.0;13.0;13.0;0.99
0.28;0.39;0.3;5.0;18.0;29.0;10.0;9.0;0.74
0.26;0.31;0.26;3.0;14.0;41.0;4.0;5.0;0.31
0.26;0.31;0.25;4.0;14.0;42.0;4.0;6.0;0.35
0.25;0.34;0.25;3.0;13.0;55.0;7.0;8.0;0.28
0.55;0.44;0.26;6.0;26.0;53.0;14.0;10.0;0.92
0.54;0.44;0.34;4.0;22.0;52.0;20.0;7.0;0.91
0.44;0.39;0.31;9.0;23.0;34.0;13.0;8.0;0.97
0.29;0.34;0.27;4.0;18.0;40.0;4.0;6.0;0.57
0.45;0.42;0.29;5.0;19.0;39.0;9.0;8.0;0.58
0.3;0.38;0.25;4.0;17.0;32.0;6.0;12.0;0.52
0.28;0.33;0.25;2.0;10.0;34.0;4.0;6.0;0.32
0.25;0.32;0.25;4.0;9.0;39.0;3.0;6.0;0.31
0.36;0.35;0.25;4.0;15.0;43.0;7.0;7.0;0.48
0.47;0.41;0.32;5.0;21.0;34.0;10.0;9.0;0.81
0.43;0.42;0.35;11.0;17.0;28.0;6.0;8.0;1.06
0.35;0.62;0.32;5.0;26.0;34.0;10.0;11.0;0.76
0.34;0.53;0.25;6.0;23.0;41.0;8.0;15.0;0.62
0.3;0.37;0.25;2.0;10.0;47.0;7.0;7.0;0.35
0.34;0.39;0.26;5.0;17.0;34.0;4.0;6.0;0.54
0.29;0.41;0.28;5.0;18.0;31.0;4.0;5.0;0.5
0.33;0.5;0.37;11.0;20.0;31.0;7.0;8.0;0.73
0.45;0.49;0.27;9.0;24.0;23.0;10.0;11.0;0.88
0.34;0.49;0.28;12.0;21.0;20.0;12.0;10.0;1.1
0.29;0.44;0.25;2.0;12.0;44.0;5.0;7.0;0.27
0.25;0.33;0.25;2.0;7.0;53.0;4.0;6.0;0.25
0.42;0.38;0.27;5.0;17.0;39.0;3.0;7.0;0.64
0.33;0.36;0.26;6.0;14.0;46.0;3.0;6.0;0.42
0.37;0.36;0.3;6.0;17.0;52.0;3.0;5.0;0.58
0.28;0.36;0.5;5.0;16.0;45.0;5.0;5.0;1.09
0.3;0.38;0.29;8.0;19.0;40.0;5.0;7.0;0.68
0.27;0.39;0.48;5.0;16.0;41.0;4.0;6.0;0.61
0.29;0.37;0.26;4.0;13.0;37.0;7.0;6.0;0.47
0.33;0.42;0.25;5.0;17.0;46.0;11.0;7.0;0.47
0.36;0.37;0.25;2.0;10.0;42.0;6.0;6.0;0.29
0.32;0.49;0.31;5.0;19.0;37.0;7.0;7.0;0.85
0.34;0.54;0.28;9.0;23.0;35.0;9.0;10.0;0.94
0.48;0.39;0.25;6.0;18.0;41.0;6.0;7.0;0.72
0.3;0.34;0.25;2.0;8.0;46.0;3.0;7.0;0.27
0.37;0.39;0.25;6.0;16.0;34.0;4.0;7.0;0.62
0.54;0.85;0.55;21.0;42.0;32.0;10.0;13.0;2.24
0.7;0.43;0.56;9.0;26.0;39.0;10.0;9.0;1.44
0.77;0.41;0.27;8.0;19.0;25.0;7.0;7.0;1.0
0.32;0.37;0.27;4.0;16.0;28.0;6.0;10.0;0.93
0.4;0.77;0.35;8.0;26.0;23.0;10.0;10.0;1.14
0.46;0.6;0.31;9.0;20.0;26.0;13.0;8.0;1.15
0.6;0.47;0.37;10.0;25.0;16.0;8.0;7.0;1.48
0.56;0.48;0.39;11.0;23.0;30.0;13.0;8.0;1.11
0.51;0.41;0.26;3.0;19.0;44.0;14.0;8.0;0.64
