BEN;CO;MXIL;NO;NO2;O3;PM2.5;SO2;TOL
0.72;0.43;1.41;7.67;25.83;60.62;6.11;1.0;3.25
1.22;0.5;2.27;28.54;42.88;37.79;12.35;1.83;5.05
2.65;0.73;4.12;63.18;49.14;21.4;25.62;18.91;7.78
3.84;0.87;6.6;96.17;56.12;22.0;27.17;40.38;12.6
2.85;1.14;13.13;116.79;64.62;19.75;36.05;44.92;13.74
3.96;0.99;11.45;170.41;73.62;22.12;41.43;41.25;17.65
3.2;1.1;7.8;97.58;64.5;20.87;45.5;49.12;15.85
2.62;0.74;3.9;37.5;49.38;31.87;32.85;35.5;9.05
1.36;0.36;1.37;8.88;46.25;39.37;13.95;8.0;3.62
0.82;0.31;2.4;49.25;45.92;29.5;12.35;5.33;3.83
1.41;0.68;4.37;71.54;49.92;19.37;22.4;14.21;6.68
1.28;0.62;4.05;111.3;61.65;21.45;30.3;9.6;7.24
1.62;0.84;5.83;122.08;69.54;20.0;37.4;17.54;8.88
1.59;0.53;4.18;54.58;53.5;27.0;34.49;9.25;7.77
0.84;0.68;1.43;44.5;47.75;25.62;33.76;18.71;3.48
0.17;0.44;0.34;23.33;44.46;29.79;25.48;18.46;0.6
0.1;0.48;0.24;28.75;43.54;30.12;19.85;15.17;0.44
0.11;0.36;0.12;9.96;27.96;41.58;19.8;11.17;0.25
0.11;0.22;0.12;6.25;23.71;67.54;11.48;4.12;0.25
0.49;0.35;0.76;20.58;32.75;43.83;27.73;7.0;1.52
0.49;0.19;0.7;7.83;24.83;57.29;8.15;5.25;1.53
0.49;0.3;0.76;24.38;39.33;43.41;9.06;6.21;1.52
0.87;0.26;1.4;19.25;37.92;43.0;9.4;5.96;2.82
0.87;0.29;1.4;9.83;29.83;27.33;11.31;10.08;2.82
0.65;0.23;0.12;3.96;17.46;43.7;11.87;9.08;1.31
0.8;0.22;0.98;13.79;31.21;48.0;8.75;5.88;2.6
1.07;0.3;1.83;28.86;31.18;39.63;11.44;8.91;3.95
0.74;0.25;0.34;10.29;27.67;55.66;6.59;5.96;1.86
0.66;0.22;0.35;11.12;23.96;57.45;6.37;4.79;1.8
1.26;0.3;1.45;18.0;40.33;39.45;12.48;5.79;4.07
1.52;0.33;1.83;22.21;28.04;41.66;16.73;5.88;3.95
0.6;0.21;0.22;3.62;19.54;65.91;7.19;4.67;1.35
0.88;0.26;0.38;9.33;28.96;51.37;8.28;7.88;2.05
0.92;0.36;0.95;15.58;43.25;43.12;9.32;7.46;2.8
0.82;0.25;1.12;9.71;33.12;44.62;9.01;5.29;4.08
0.94;0.27;0.91;18.96;37.96;44.45;13.17;8.54;4.63
1.44;0.56;2.29;31.92;50.54;33.04;20.89;16.08;5.28
1.15;0.56;1.47;15.21;43.38;39.29;22.62;15.25;3.62
0.9;0.35;0.89;9.33;27.58;53.75;18.72;7.79;2.64
0.59;0.19;0.22;2.71;22.25;63.0;12.52;3.67;2.68
0.61;0.2;1.08;5.57;24.22;64.13;10.26;3.13;2.08
0.82;0.27;0.78;12.08;29.62;52.7;15.6;8.46;3.0
0.88;0.27;0.91;10.83;33.5;47.58;16.08;5.33;2.52
0.8;0.4;1.37;5.38;34.92;48.16;18.94;4.17;3.12
1.09;0.53;1.76;11.71;43.96;38.33;21.06;11.75;4.49
0.82;0.32;0.72;5.54;33.88;48.08;16.08;5.21;2.75
1.09;0.53;1.71;17.46;42.75;40.83;17.98;10.42;4.18
0.85;0.33;1.11;15.54;32.25;50.0;14.39;6.96;2.56
0.59;0.22;0.16;8.83;24.88;64.25;3.64;4.71;1.07
0.88;0.26;1.02;15.33;41.25;46.5;7.71;5.25;2.6
0.94;0.26;0.7;14.08;35.46;45.91;7.89;6.17;2.41
1.08;0.29;0.7;11.83;30.54;44.0;9.88;6.54;2.49
0.62;0.23;0.25;4.5;23.12;62.54;6.2;5.21;1.19
0.91;0.27;0.62;15.67;33.92;45.5;8.45;5.12;2.39
1.17;0.34;1.89;14.42;30.08;45.66;7.76;8.71;4.22
0.68;0.26;0.26;7.73;28.0;57.0;6.67;4.73;1.36
0.9;0.34;0.79;15.21;39.17;33.54;12.65;4.75;2.58
1.12;0.49;1.32;18.62;39.29;37.04;18.07;6.08;3.8
1.08;0.53;2.18;13.08;41.46;38.5;19.46;10.33;3.71
0.8;0.34;2.39;5.0;27.83;30.2;14.04;11.58;2.37
0.9;0.29;2.14;22.46;25.42;36.2;10.83;6.92;3.24
0.9;0.31;2.14;11.54;30.83;40.12;8.88;6.42;3.24
0.99;0.32;1.89;18.62;31.67;49.83;13.04;8.25;4.11
0.52;0.2;0.45;3.25;19.17;57.54;8.1;5.88;1.79
0.31;0.33;1.0;4.58;22.42;60.95;9.06;5.04;1.75
0.84;0.59;1.53;12.25;34.62;44.75;16.99;9.25;3.09
0.68;0.39;0.71;2.67;23.29;64.95;15.64;7.5;1.42
0.74;0.39;0.58;9.12;31.5;55.33;14.56;10.08;2.27
0.6;0.38;0.24;5.65;26.91;57.77;6.67;5.91;1.34
0.62;0.62;0.85;9.71;24.33;50.7;7.67;7.5;2.09
0.59;0.6;0.6;14.0;27.25;55.2;7.58;9.62;2.11
0.43;0.56;0.3;6.54;22.12;58.83;7.32;6.21;1.2
0.6;0.56;0.9;4.25;18.75;52.75;8.84;5.25;1.14
0.24;0.54;0.17;2.17;12.42;62.2;7.5;3.92;0.84
0.97;0.84;0.92;15.25;29.33;38.41;12.44;9.62;2.87
0.74;0.93;0.99;8.71;29.08;39.33;19.15;8.96;4.03
0.61;0.77;0.92;5.6;23.42;49.7;14.04;7.1;2.79
0.48;0.6;0.85;2.5;17.75;60.08;8.93;5.25;1.56
0.55;0.59;0.97;10.46;22.71;49.87;9.01;4.75;2.32
0.43;0.57;0.53;5.88;26.92;57.62;6.93;4.33;1.67
0.4;0.59;0.69;7.08;19.75;52.37;8.45;5.62;1.44
0.15;0.5;0.08;2.04;10.58;68.2;6.85;4.12;0.41
0.99;0.6;0.62;12.04;27.42;46.83;16.08;6.12;2.09
1.05;0.69;2.2;12.45;41.0;32.0;17.11;12.59;3.59
0.32;0.52;0.51;5.75;18.5;63.37;8.15;4.33;1.45
0.97;0.67;1.52;16.88;41.5;32.58;15.43;8.33;3.33
0.79;0.66;2.16;26.92;20.58;33.66;12.83;4.17;3.61
0.32;0.53;0.26;2.88;15.04;54.41;8.45;2.21;0.96
0.26;0.51;0.21;2.17;10.21;56.25;9.88;5.12;0.87
0.33;0.53;0.47;8.42;19.92;57.29;10.88;5.58;1.81
0.61;0.91;1.39;12.08;31.42;46.5;16.21;12.17;2.81
0.94;1.09;2.0;14.17;38.08;41.83;22.75;19.42;3.82
0.55;0.57;0.47;4.04;22.88;63.04;14.21;4.71;1.51
0.48;0.63;0.62;8.79;26.12;58.5;7.19;3.92;1.6
0.37;0.56;0.56;5.21;16.58;54.25;5.85;3.88;1.3
0.3;0.52;0.39;3.0;15.04;59.04;8.02;3.71;0.96
0.77;0.64;1.13;8.12;25.88;46.91;12.87;5.62;2.28
0.57;0.52;1.17;8.92;28.48;43.3;14.98;7.5;2.15
0.38;0.39;1.21;9.71;31.08;39.7;18.76;9.38;2.02
0.31;0.27;0.48;5.04;21.38;51.04;11.27;4.88;1.35
0.34;0.24;0.76;9.29;17.71;48.41;8.45;4.79;1.12
0.23;0.24;0.26;3.33;14.88;52.16;9.62;5.38;0.7
0.3;0.24;0.25;3.08;12.12;46.7;8.15;4.83;0.62
0.29;0.24;0.36;8.88;16.67;44.5;7.84;4.46;0.91
0.29;0.25;0.44;10.46;18.08;43.25;9.06;4.75;0.98
0.47;0.43;0.92;9.83;23.88;37.91;11.14;7.92;1.4
0.38;0.34;0.68;10.15;20.98;40.58;10.1;6.33;1.2
0.68;0.41;1.08;9.03;28.82;46.76;12.26;9.65;1.5
0.98;0.5;1.48;7.92;36.67;52.95;14.43;13.0;1.81
0.82;0.53;0.9;4.79;28.5;43.66;16.55;14.08;1.34
0.4;0.74;0.71;10.38;27.62;32.25;18.76;11.67;1.28
0.36;0.44;0.76;4.88;18.88;51.66;11.7;3.92;2.19
0.25;0.38;0.38;9.82;21.18;47.45;6.39;2.77;0.95
0.33;0.28;0.55;14.29;21.33;47.37;6.93;2.92;1.14
0.2;0.25;0.28;8.96;17.04;67.79;7.89;2.33;0.6
0.32;0.27;0.58;9.33;18.46;45.0;8.62;4.0;1.16
0.2;0.29;0.3;3.21;18.62;50.54;7.63;4.46;0.75
0.29;0.27;0.47;8.17;18.25;51.95;9.23;3.71;0.87
0.19;0.24;0.26;4.42;12.67;64.29;5.46;4.92;0.48
0.28;0.26;0.43;9.46;19.12;56.16;7.76;5.62;0.93
0.51;0.4;1.0;10.54;26.0;42.62;9.49;4.79;1.48
0.47;0.36;1.25;11.0;30.54;37.0;13.13;5.21;1.63
0.28;0.28;0.66;4.54;17.04;57.62;10.53;3.42;0.72
0.19;0.35;0.4;3.5;16.96;54.12;10.7;3.96;0.67
0.48;0.31;0.63;6.17;26.38;42.16;19.07;6.21;1.17
0.68;0.47;1.16;15.48;29.52;37.39;20.04;8.74;2.07
0.45;0.34;0.85;16.0;20.92;43.62;9.66;7.96;1.89
0.16;0.28;0.42;4.42;21.08;50.91;6.67;5.04;0.92
0.13;0.23;0.24;4.96;15.29;48.16;4.9;5.04;0.65
0.52;0.32;0.61;8.96;19.46;41.7;11.53;9.04;1.13
0.45;0.33;0.33;3.21;19.29;43.04;12.83;3.96;1.04
0.55;0.45;0.94;14.33;30.21;21.91;14.6;2.96;2.09
0.42;0.4;1.09;10.08;24.21;32.04;13.04;4.0;1.8
0.26;0.27;0.44;5.21;17.83;53.45;9.36;4.5;1.16
0.37;0.36;0.63;10.29;22.08;50.04;11.4;6.08;1.46
0.21;0.41;0.39;5.92;20.38;52.25;10.49;5.0;1.09
0.25;0.28;0.36;2.96;13.83;51.83;13.52;3.29;0.86
0.13;0.27;0.26;2.38;9.83;47.79;9.97;2.54;0.54
0.14;0.38;0.45;3.15;11.67;48.81;8.12;2.42;0.77
0.15;0.5;0.63;3.92;13.5;49.83;6.28;2.3;1.0
0.16;0.43;0.63;3.95;14.68;49.63;7.99;2.06;1.0
0.2;0.33;1.0;5.5;19.54;43.2;10.92;1.58;1.47
0.24;0.48;1.21;10.12;25.38;39.75;18.85;4.08;2.03
0.11;0.47;0.22;5.71;21.71;65.04;17.12;4.54;0.34
0.26;0.38;0.26;3.62;19.83;56.25;15.77;5.5;0.41
0.29;0.43;0.21;2.25;13.71;60.29;15.64;4.38;0.54
0.17;0.37;0.32;3.5;17.75;63.75;11.92;3.75;0.94
0.49;0.4;0.59;6.67;21.46;58.62;12.74;7.58;1.41
0.3;0.56;0.96;6.08;24.71;55.29;17.07;15.0;2.0
0.55;0.7;1.37;11.54;29.12;53.41;19.02;17.67;2.88
0.23;0.4;0.51;4.42;18.5;70.83;12.65;7.92;1.4
0.11;0.29;0.22;2.5;10.71;65.75;7.41;4.88;0.63
0.12;0.36;0.28;2.29;11.67;60.62;9.14;10.29;0.55
0.2;0.32;0.5;5.12;17.0;66.87;13.04;8.46;1.38
0.2;0.33;0.88;6.83;19.04;60.5;9.92;5.33;1.31
0.2;0.32;0.73;4.71;22.96;54.04;9.88;3.0;1.5
0.67;0.41;0.81;7.65;18.35;40.18;12.01;11.77;1.39
0.34;0.65;1.21;10.04;22.17;41.29;13.69;14.0;1.61
0.4;0.36;0.45;3.0;16.04;39.75;11.18;5.88;1.07
0.14;0.3;0.26;2.25;10.67;37.58;6.93;4.83;0.68
0.13;0.33;1.74;3.42;13.12;38.91;11.31;2.96;1.18
0.44;0.49;0.85;7.83;22.29;37.5;18.81;5.21;1.73
0.53;0.77;2.2;5.67;26.29;45.95;18.72;16.29;2.11
0.41;0.5;2.29;10.5;20.33;39.87;14.47;9.62;3.07
0.21;0.31;0.71;6.83;17.62;39.7;6.67;5.21;1.01
0.21;0.33;0.48;4.12;12.88;44.0;5.76;14.04;0.83
0.23;0.43;0.43;4.62;14.38;43.45;8.45;25.92;0.96
0.36;0.35;0.67;11.58;14.12;48.33;8.41;9.17;1.4
0.28;0.41;0.66;6.3;16.57;57.78;7.42;20.91;1.01
0.3;0.45;0.75;10.46;16.88;50.26;9.49;29.5;1.35
0.2;0.48;1.49;5.5;17.42;55.7;8.49;12.92;1.36
0.37;0.51;1.21;11.96;19.71;46.33;11.7;4.33;1.8
0.47;0.52;1.17;3.42;20.25;46.5;17.51;9.17;1.58
0.56;0.38;0.78;2.29;15.12;48.54;16.99;5.21;1.14
0.48;0.59;2.49;7.62;23.17;45.33;15.56;19.08;1.52
0.48;0.37;0.7;7.75;20.88;34.83;11.57;5.71;1.7
0.49;0.45;0.98;14.96;21.0;31.16;10.88;6.54;2.19
0.59;0.43;3.1;14.96;18.46;26.12;8.62;11.71;2.04
0.4;0.4;2.29;7.5;23.88;37.87;12.31;5.29;1.76
0.4;0.38;2.28;4.38;17.29;52.79;9.01;7.75;1.7
0.35;0.31;1.46;3.17;11.83;55.41;7.58;2.08;1.57
0.35;0.4;1.46;6.83;16.94;48.83;8.95;5.56;1.58
0.31;0.49;0.63;10.5;22.04;42.25;10.31;9.04;1.46
0.35;0.51;0.72;10.04;17.38;42.66;8.88;11.88;1.39
0.34;0.59;0.57;9.31;20.56;41.28;10.36;9.02;1.3
0.34;0.59;0.58;9.31;20.56;41.28;10.36;9.02;1.16
0.34;0.67;0.57;8.58;23.75;39.91;11.83;6.17;1.16
0.33;0.48;0.43;3.71;15.42;43.62;6.98;4.33;1.01
0.26;0.39;0.3;6.17;16.67;50.87;6.93;4.33;0.67
0.2;0.28;0.26;3.25;14.29;50.5;6.72;1.96;0.74
0.24;0.32;0.6;7.29;16.79;54.12;8.93;4.83;1.26
0.26;0.35;0.66;5.42;24.04;56.54;11.27;5.29;1.33
0.52;0.72;2.17;15.88;44.92;47.54;15.82;10.42;2.97
0.41;0.38;0.7;3.08;17.88;70.91;16.47;5.42;1.3
0.19;0.37;0.2;2.29;12.71;63.08;12.35;4.08;0.57
0.28;0.4;0.48;4.33;21.58;49.54;13.87;3.08;1.13
0.54;0.44;0.54;4.08;22.58;49.66;15.73;6.17;1.6
0.37;0.35;0.44;4.61;18.65;48.56;11.53;3.35;1.44
0.29;0.41;0.52;3.88;22.12;55.29;11.66;4.79;1.42
0.29;0.33;0.63;6.08;18.79;40.2;11.48;3.71;1.93
0.35;0.38;0.36;3.62;17.58;45.08;11.66;5.46;1.22
0.24;0.31;0.21;2.54;12.08;54.91;6.46;4.04;0.55
0.15;0.32;0.21;3.38;14.29;55.37;5.68;3.75;0.82
0.35;0.32;0.97;9.83;24.83;46.12;9.32;4.5;1.74
0.4;0.37;1.07;10.46;21.54;53.87;10.62;5.58;1.82
0.27;0.31;0.35;4.88;17.04;53.83;6.41;4.46;2.0
0.33;0.31;0.65;10.38;23.67;43.33;7.71;3.92;2.04
0.38;0.34;0.81;6.58;21.38;48.83;8.02;6.21;1.41
0.46;0.31;0.74;4.58;15.96;43.62;8.1;5.17;1.21
0.48;0.31;0.25;3.33;12.25;57.29;7.79;4.17;1.12
0.32;0.32;0.36;8.59;18.55;45.86;7.79;3.68;1.15
0.43;0.3;0.45;9.33;22.79;42.62;7.84;3.92;1.47
0.66;0.33;1.14;15.88;21.83;40.2;10.66;7.0;2.16
0.34;0.3;0.63;9.42;22.67;48.16;11.01;6.0;1.88
0.35;0.35;0.59;3.21;18.12;53.87;14.52;6.42;1.43
0.45;0.47;0.25;2.33;16.17;57.08;20.54;7.62;0.92
0.56;0.54;0.95;6.33;30.92;46.41;21.1;13.04;2.0
0.53;0.51;1.75;6.62;30.04;41.33;15.21;7.12;3.01
0.46;0.34;1.03;8.71;19.58;48.0;9.58;4.67;2.04
0.27;0.31;0.45;4.38;21.58;59.08;9.58;4.83;1.35
0.76;0.44;2.36;16.04;28.21;38.33;17.12;5.71;2.48
0.42;0.33;0.51;4.83;19.04;47.75;14.86;5.58;1.36
0.38;0.3;0.58;6.79;18.79;37.37;6.54;5.29;1.46
0.79;0.37;1.41;23.04;30.83;17.2;11.96;6.25;2.76
0.56;0.31;1.08;17.17;24.25;31.33;8.75;2.62;3.03
0.92;0.33;1.86;22.78;29.7;29.86;9.36;4.48;3.96
0.87;0.49;1.67;20.12;30.04;32.58;13.74;8.25;3.07
0.5;0.32;0.79;11.04;24.46;41.83;11.14;5.71;2.27
0.34;0.43;0.61;7.54;27.33;49.25;10.49;7.0;2.03
0.42;0.28;0.67;7.25;19.33;33.75;10.66;3.67;2.09
0.45;0.35;1.01;14.67;21.21;31.66;9.36;6.79;2.18
0.33;0.32;0.68;13.75;19.77;38.72;9.84;5.87;1.65
0.21;0.28;0.35;12.83;18.33;45.79;10.31;4.96;1.11
0.3;0.24;0.44;5.75;17.38;59.87;6.46;4.33;1.36
0.55;0.29;0.99;11.46;26.21;37.29;9.58;4.42;2.18
0.33;0.25;0.48;6.25;27.46;41.0;7.32;3.71;1.89
0.44;0.28;0.73;9.58;22.33;38.08;9.66;4.33;2.34
0.35;0.28;0.8;3.38;17.0;42.04;9.45;3.54;1.58
0.62;0.39;1.86;21.25;34.0;33.04;13.78;6.29;3.33
0.57;0.31;1.8;19.91;27.54;34.59;10.65;7.55;3.13
0.57;0.28;1.8;16.08;26.67;36.29;8.06;4.54;3.13
0.51;0.34;1.75;19.71;28.71;31.33;10.49;6.17;2.93
0.73;0.39;3.04;28.83;28.12;37.5;14.52;5.58;4.53
0.52;0.39;0.95;3.92;21.21;48.83;16.81;3.62;1.68
0.44;0.27;0.52;4.0;16.5;54.33;9.92;5.12;1.46
0.38;0.26;0.49;10.21;27.71;50.7;5.63;3.79;1.61
0.64;0.25;1.55;33.46;37.83;34.91;9.14;3.88;3.57
0.62;0.12;1.78;26.0;39.54;25.62;10.05;4.79;4.04
0.55;0.35;1.58;12.29;29.21;31.08;9.23;4.83;3.26
0.7;0.6;1.63;26.62;37.46;21.79;11.09;6.21;3.39
0.33;0.49;0.49;3.92;22.75;45.29;6.28;3.75;1.43
0.39;0.52;0.44;5.04;21.92;51.2;5.55;4.42;1.42
0.49;0.56;1.3;17.62;31.71;30.66;7.37;5.17;2.23
0.57;0.59;1.59;18.65;29.78;28.52;9.54;8.87;2.25
0.52;0.57;0.91;14.38;36.83;41.2;7.54;5.62;2.28
0.85;0.66;2.64;44.79;38.29;26.04;11.66;5.38;5.14
0.78;0.64;3.42;39.96;30.04;20.66;11.31;6.92;4.33
1.54;0.94;4.67;68.54;40.62;16.75;19.63;8.17;8.15
1.01;0.86;2.46;25.88;36.75;18.29;16.6;14.79;4.37
1.38;0.89;4.23;59.62;46.25;17.54;21.19;16.04;7.16
1.03;0.75;5.32;41.33;41.46;21.62;17.72;9.0;7.12
1.42;0.68;4.56;45.29;38.38;12.41;15.9;7.38;6.99
0.92;0.61;2.93;29.79;31.5;15.55;10.7;10.54;4.29
0.84;0.73;2.49;22.46;25.79;42.1;7.63;10.0;4.5
0.34;0.45;0.54;6.33;17.5;42.1;3.77;2.12;1.42
0.24;0.43;0.59;3.54;10.38;68.66;5.46;4.67;0.94
0.45;0.48;1.26;10.58;19.58;62.04;4.9;6.29;2.58
0.41;0.5;0.55;13.21;23.33;49.5;7.8;5.08;1.39
0.63;0.55;1.36;20.54;32.21;37.87;7.28;5.12;2.55
0.34;0.49;0.7;11.09;22.32;57.09;4.9;5.5;1.52
0.48;0.55;0.84;16.38;33.17;45.37;7.58;3.88;1.91
0.32;0.49;0.48;7.92;23.79;50.41;6.63;4.92;1.14
0.43;0.54;0.53;7.0;23.58;48.87;6.28;7.08;1.32
0.47;0.53;0.89;13.83;30.75;45.12;10.44;5.58;1.47
0.7;0.55;1.13;21.88;39.38;28.45;9.4;6.04;2.29
0.38;0.51;0.78;13.12;28.96;51.75;5.24;4.79;1.64
0.44;0.52;0.5;16.17;30.92;56.08;5.68;8.08;1.21
0.56;0.58;0.61;18.46;35.79;43.66;7.02;4.92;1.55
0.54;0.61;0.67;11.08;29.62;46.79;6.72;7.92;1.71
0.45;0.57;0.87;6.88;25.33;48.91;7.15;4.71;1.55
0.84;0.66;1.22;31.38;39.04;30.75;10.31;6.54;2.86
1.17;0.69;3.83;55.0;42.38;15.66;14.34;14.21;5.05
1.35;0.68;4.12;68.81;46.21;16.08;16.94;22.66;5.54
1.52;0.66;4.41;82.62;50.04;16.5;19.54;31.12;6.04
0.56;0.35;1.07;16.96;28.46;48.87;8.88;13.71;2.22
0.5;0.4;0.61;12.46;28.42;52.29;7.45;9.96;1.44
1.07;0.51;2.14;33.08;41.42;20.5;12.52;8.92;3.83
1.5;0.67;3.94;96.67;43.75;13.12;17.72;8.0;6.93
0.72;0.44;2.05;32.25;32.96;37.58;9.06;13.12;3.42
0.88;0.45;2.54;40.92;46.33;36.7;11.14;7.88;4.01
0.88;0.44;2.54;35.87;46.52;13.82;13.75;6.61;4.01
1.04;0.5;3.04;54.92;40.46;16.58;13.26;5.83;4.61
0.83;0.46;1.55;34.29;37.62;28.75;11.79;4.83;2.81
0.8;0.44;1.21;24.44;32.83;28.68;11.48;4.42;2.31
0.77;0.41;0.88;14.58;28.04;28.62;11.18;4.0;1.8
0.77;0.36;1.37;21.04;37.71;27.37;9.84;4.58;2.86
0.89;0.41;3.06;56.71;38.88;21.37;13.39;7.54;3.19
1.27;0.56;8.6;88.12;43.5;13.04;25.35;17.21;4.92
1.8;0.65;6.4;107.6;44.61;7.74;29.97;19.65;8.42
1.55;0.59;6.67;72.88;31.67;8.83;23.31;9.0;5.65
1.58;0.67;3.58;66.67;36.88;8.96;21.88;11.42;5.24
0.82;0.38;1.12;17.58;33.25;20.79;13.09;6.71;2.24
0.91;0.41;1.66;39.54;35.21;26.54;15.64;8.21;3.49
1.87;0.71;5.96;142.54;46.88;7.5;25.91;19.88;11.61
0.69;0.35;1.56;22.0;31.54;45.5;9.45;10.42;2.41
0.44;0.32;0.67;15.0;32.58;48.7;5.94;4.12;1.38
0.21;0.23;0.4;9.88;21.46;59.12;3.77;6.04;0.8
1.5;0.63;5.14;86.58;58.08;16.7;17.12;11.54;7.31
0.45;0.26;0.54;5.92;28.79;44.66;8.1;4.71;1.33
0.5;0.26;0.56;13.0;39.96;39.79;6.07;4.5;1.33
0.77;0.35;1.95;44.96;42.65;33.17;10.26;8.52;2.58
0.58;0.27;1.27;16.79;28.71;33.41;8.58;4.67;2.18
0.76;0.38;1.65;40.46;46.92;29.16;7.63;4.92;2.84
1.04;0.44;2.54;65.79;56.29;27.66;14.04;8.29;4.01
0.75;0.35;1.56;32.17;30.21;39.91;10.79;6.58;2.91
0.26;0.23;0.4;5.54;18.42;66.75;5.72;6.46;0.68
1.66;0.6;5.05;109.62;57.21;18.08;21.62;11.5;8.55
1.89;0.64;4.99;119.62;41.92;9.96;22.27;10.67;8.06
2.35;0.78;5.84;131.29;36.58;6.75;27.08;8.79;9.02
1.21;0.41;3.53;90.38;46.62;24.62;17.81;9.25;6.19
1.5;0.52;5.18;103.08;47.46;9.54;28.47;10.5;6.37
2.64;0.75;8.28;177.5;53.46;7.83;39.69;16.62;11.52
2.55;0.77;7.48;169.95;51.62;7.46;38.09;15.04;10.71
2.72;0.89;10.64;291.5;65.38;7.12;44.03;16.92;13.1
1.64;0.46;7.17;78.0;46.0;14.0;29.0;13.0;4.98
1.36;0.42;2.5;53.0;32.0;23.0;27.0;10.0;3.68
1.68;0.48;4.94;102.0;44.0;10.0;32.0;11.0;4.85
2.09;0.65;9.57;140.0;48.0;8.0;36.0;17.0;8.37
1.46;0.38;2.2;34.0;37.0;18.0;19.0;6.0;3.29
1.37;0.43;3.04;69.0;36.0;16.0;20.0;8.0;4.52
1.69;0.58;2.98;94.0;33.0;7.0;32.0;13.0;4.87
1.89;0.66;7.3;155.0;51.0;7.0;31.0;15.0;8.17
2.03;0.69;9.38;144.0;56.0;7.0;30.0;20.0;10.49
0.96;0.37;4.63;56.0;41.0;21.0;14.0;13.0;4.37
0.9;0.33;2.34;55.0;49.0;30.0;14.0;9.0;3.0
1.63;0.54;5.0;86.0;44.0;11.0;26.0;15.0;5.08
1.55;0.57;4.58;69.0;42.0;13.0;25.0;19.0;4.65
2.16;0.76;8.01;167.0;57.0;9.0;34.0;36.0;9.34
0.67;0.22;1.63;11.0;23.0;54.0;10.0;9.0;2.31
0.58;0.33;1.91;31.0;34.0;40.0;13.0;2.0;1.96
0.48;0.3;2.18;10.0;28.0;46.0;8.0;6.0;1.6
0.7;0.3;0.98;21.0;35.0;42.0;10.0;7.0;1.66
1.02;0.43;2.12;29.0;43.0;22.0;15.0;8.0;2.85
0.31;0.18;0.26;3.0;13.0;67.0;6.0;4.0;0.48
0.59;0.24;0.6;13.0;29.0;46.0;10.0;4.0;1.13
0.82;0.36;1.43;37.0;43.0;23.0;14.0;5.0;2.34
1.47;0.5;4.87;48.0;50.0;14.0;20.0;8.0;5.13
1.25;0.47;2.91;59.0;38.0;15.0;20.0;3.0;4.13
1.49;0.58;4.11;70.0;42.0;13.0;25.0;15.0;5.1
1.25;0.53;3.05;40.0;37.0;16.0;21.0;9.0;3.67
1.15;0.46;3.3;47.0;41.0;21.0;15.0;11.0;3.97
0.9;0.4;2.29;40.0;45.0;28.0;12.0;9.0;3.35
0.7;0.33;1.89;41.0;40.0;35.0;11.0;7.0;2.96
1.73;0.68;5.42;109.0;44.0;13.0;23.0;17.0;7.31
1.72;0.81;6.59;138.0;49.0;9.0;24.0;2.0;11.16
1.71;0.77;7.59;121.0;43.0;9.0;23.0;16.0;10.92
1.53;0.67;5.59;69.0;42.0;12.0;15.0;13.0;7.49
1.91;0.78;6.93;92.0;41.0;7.0;24.0;9.0;10.14
1.77;0.82;7.4;134.0;49.0;13.0;32.0;17.0;12.04
0.6;0.31;1.91;20.0;33.0;32.0;10.0;2.0;3.36
0.49;0.28;0.84;23.0;33.0;40.0;8.0;5.0;1.61
1.48;0.62;6.55;92.0;48.0;11.0;24.0;9.0;6.08
1.37;0.6;5.08;80.0;46.0;16.0;26.0;15.0;5.47
0.91;0.43;1.97;26.0;36.0;30.0;16.0;7.0;2.81
1.22;0.55;3.21;44.0;37.0;15.0;17.0;12.0;4.56
1.15;0.53;3.55;71.0;40.0;17.0;16.0;7.0;6.0
0.9;0.4;2.0;34.0;35.0;29.0;15.0;8.0;3.24
0.94;0.43;1.71;38.0;39.0;25.0;16.0;20.0;2.45
0.73;0.45;11.73;41.0;33.0;35.0;12.0;4.0;2.41
0.99;0.57;3.36;65.0;44.0;22.0;14.0;2.0;3.74
1.02;0.61;3.38;41.0;43.0;17.0;16.0;2.0;3.56
1.58;0.65;6.03;82.0;53.0;18.0;22.0;2.0;9.34
0.44;0.31;0.7;15.0;39.0;46.0;7.0;3.0;1.4
0.69;0.39;7.01;34.0;43.0;29.0;11.0;7.0;3.81
0.84;0.53;2.92;41.0;48.0;27.0;14.0;10.0;3.02
0.87;0.48;2.42;40.0;39.0;33.0;17.0;5.0;2.65
1.04;0.63;2.45;51.0;43.0;33.0;17.0;2.0;3.27
0.93;0.53;1.65;28.0;35.0;34.0;22.0;4.0;2.87
0.94;0.66;0.81;14.0;40.0;23.0;24.0;5.0;1.78
0.85;0.58;11.01;28.0;33.0;31.0;20.0;2.0;1.99
0.63;0.42;1.01;16.0;38.0;42.0;16.0;7.0;1.6
0.5;0.36;0.69;14.0;38.0;51.0;8.0;13.0;1.15
0.45;0.36;1.09;20.0;33.0;49.0;21.0;9.0;1.71
1.12;0.55;2.92;80.0;52.0;21.0;28.0;2.0;5.64
0.3;0.3;0.31;7.0;20.0;66.0;12.0;1.0;0.59
0.33;0.32;0.4;7.0;22.67;63.33;11.0;2.0;0.75
0.36;0.33;0.49;7.0;25.33;60.67;10.0;3.0;0.92
